,S&C Positrol Fuse Links,,,,,,,,,,S&C Positrol Fuse Links,,,,,,,,,,S&C Positrol Fuse Links,,,,,,,,,
,Universal and Extra Performance Styles,,,,,,,,,,Universal and Extra Performance Styles,,,,,,,,,,Universal and Extra Performance Styles,,,,,,,,,
,"""K"" Speed (TCC 165-6-2)",,,,,,,,,,"""K"" Speed (TCC 165-6-2)",,,,,,,,,,"""K"" Speed (TCC 165-6-2)",,,,,,,,,
,"Total Clearing Time-Current Characteristic Curves Dated January 20, 1986",,,,,,,,,,"Total Clearing Time-Current Characteristic Curves Dated January 20, 1986",,,,,,,,,,"Total Clearing Time-Current Characteristic Curves Dated January 20, 1986",,,,,,,,,
,Tolerance:  Curves are plotted to maximum test points.  All variations are minus.,,,,,,,,,,Tolerance:  Curves are plotted to maximum test points.  All variations are minus.,,,,,,,,,,Tolerance:  Curves are plotted to maximum test points.  All variations are minus.,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6K,,8K,,10K,,12K,,15K,,20K,,25K,,30K,,40K,,50K,,65K,,80K,,100K,,140K,,200K,
,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time
 ,"798,986","0,014637","645,06","0,016686","741,995","0,017437","966,173","0,017402","1106,92","0,018423","1488,22","0,018148","1734,27","0,01929","2262,76","0,01872","2741,72","0,019309","2984,96","0,021815","3094,37","0,024893","3116,11","0,033636","4033,3","0,031899","4634,76","0,05463","3656,79","0,182106"
 ,"724,399","0,014903","591,312","0,017315","684,948","0,018076","896,361","0,018058","1044,55","0,019098","1391,78","0,018814","1594,54","0,020421","2088,79","0,01966","2574,32","0,020198","2777,59","0,023257","2853,61","0,026912","2847,91","0,03721","3828,93","0,033838","4382,35","0,059656","3447,28","0,207181"
 ,"660,068","0,01525","548,585","0,01786","643,128","0,018739","828,273","0,018965","971,987","0,020077","1292,51","0,01964","1480,8","0,021598","1945,63","0,020668","2414,72","0,021234","2610,61","0,024547","2592,4","0,029654","2597,59","0,041955","3667,77","0,035573","4118,9","0,065667","3302,19","0,228741"
 ,"608,711","0,015589","508,947","0,018589","599,049","0,019562","766,123","0,020037","907,182","0,021107","1223,34","0,02034","1393,17","0,022728","1805,04","0,022012","2271,83","0,022367","2451,22","0,026039","2381,15","0,032642","2400,28","0,046646","3468,02","0,037886","3886,8","0,072283","3141,14","0,256619"
 ,"557,991","0,01608","474,539","0,019542","564,163","0,020421","713,615","0,02117","841,632","0,022547","1153,25","0,021107","1318,62","0,023821","1679,65","0,02349","2133,12","0,023679","2260,5","0,028179","2178,39","0,036183","2198,08","0,053069","3292,3","0,040552","3704,64","0,078225","2984,96","0,291953"
 ,"512,522","0,016703","434,564","0,02098","530,247","0,021426","644,415","0,023141","777,702","0,024157","1079,59","0,022322","1236,87","0,025295","1536,62","0,025498","1965,18","0,025523","2070,07","0,030957","1961,26","0,04133","2029,08","0,059536","3094,37","0,043754","3461,09","0,087934","2873,66","0,320407"
 ,"477,872","0,017263","402,761","0,022524","493,411","0,022887","586,6","0,025244","728,759","0,02578","1006,6","0,023774","1148,65","0,027129","1393,17","0,028067","1825,01","0,027456","1922,42","0,033568","1765,77","0,047636","1901,39","0,06593","2879,41","0,048356","3302,19","0,095736","2714,44","0,373005"
 ,"442,015","0,017932","372,912","0,024278","453,204","0,024893","536,648","0,027511","658,091","0,028548","928,289","0,02578","1062,46","0,029388","1231,93","0,031995","1698,23","0,029683","1787,08","0,036583","1556,72","0,056974","1778,17","0,073009","2690,12","0,053388","3106,77","0,106122","2569,18","0,434673"
 ,"411,72","0,018682","349,794","0,026065","410,487","0,027732","481,229","0,030802","599,648","0,031709","845,005","0,028377","982,738","0,031868","1095,91","0,036693","1581,83","0,032027","1662,94","0,040108","1415,64","0,065732","1677,97","0,079965","2470,91","0,060315","2922,93","0,11858","2441,43","0,503002"
 ,"381,97","0,019699","323,223","0,028377","381,97","0,030253","434,999","0,034522","539,878","0,035966","758,5","0,031995","919,052","0,034418","986,677","0,041955","1461,68","0,035184","1542,78","0,044327","1289,92","0,076065","1567,66","0,089174","2324,69","0,066062","2741,72","0,133565",2334,"0,575704"
